question;context;answers
In which levels does NLB Skladi tackle the sustainability development activities?;"Sustainable development is one of the strategic orientations of
the company. NLB Skladi tackles the sustainable development
activities at two levels: 1. Harmonisation within the NLB Group
at company level and 2. Harmonisation of the company with
legislation at the level of the provision of services/products. ";{'text': ['NLB Skladi tackles the sustainable development\nactivities at two levels: 1. Harmonisation within the NLB Group\nat company level and 2. Harmonisation of the company with\nlegislation at the level of the provision of services/products. '], 'answer_start': [78]}
What is the aim of Sustainable development policy?;"Therefore, the aim of Sustainable development policy is
to ensure the sustainable and successful operation of
NLB Skladi, taking into account environmental, social and
governance factors, their impact on company’s risks and
business opportunities, and to actively contribute to a more
balanced and inclusive economic and social system.";{'text': ['the aim of Sustainable development policy is\nto ensure the sustainable and successful operation of\nNLB Skladi'], 'answer_start': [12]}
Why did the NLB group join the UN Principles for Responsible Banking framework?;"In 2022, the NLB Group continued with its commitment to the
UN Principles for Responsible Banking (the Principles). The
Group joined this framework to make a positive contribution
to people and the planet, with the special commitment to
economic development and improving the quality of life in the
region where the Group operates.";{'text': ['The\nGroup joined this framework to make a positive contribution\nto people and the planet, with the special commitment to\neconomic development and improving the quality of life in the\nregion where the Group operates'], 'answer_start': [117]}
"What will be the volume of new sustainable corporate
financing in the NLB Group by the year 2030?";"Publicly announced target by 2030
By the year 2030, the volume of new sustainable corporate
financing in the NLB Group will be at least 785 mio EUR.";{'text': ['By the year 2030, the volume of new sustainable corporate\nfinancing in the NLB Group will be at least 785 mio EUR.'], 'answer_start': [35]}
How much of the new sustainable corporate financing did the Group implement by year 2022?;"Target achivements in 2022
By year 2022 the NLB Group has implemented 166.9 million of
new sustainable corporate financing. ";{'text': ['By year 2022 the NLB Group has implemented 166.9 million of\nnew sustainable corporate financing. '], 'answer_start': [28]}
What will be the main source of electric energy used in the NLB Group by the year 2030?;"Publicly announced target by 2030
By the year 2030, 75% of all electric energy used in the NLB
Group will come from zero-carbon sources.";{'text': ['By the year 2030, 75% of all electric energy used in the NLB\nGroup will come from zero-carbon sources.'], 'answer_start': [35]}
Compared to 2019, how much will the NLB Group decrease the number of paper prints by the year 2025?;"Publicly announced target by 2025
By the year 2025, the NLB Group will decrease the number of
paper prints in its operations by 50% compared to the year 2019.";{'text': ['By the year 2025, the NLB Group will decrease the number of\npaper prints in its operations by 50% compared to the year 2019.'], 'answer_start': [35]}
Compared to 2019, how much did the NLB Group decrease the number of paper prints by the year 2022?;"Target achivements in 2022
By the year 2022 the NLG Group decreased the number of
paper prints by 43% compared to 2019";{'text': ['By the year 2022 the NLG Group decreased the number of\npaper prints by 43% compared to 2019'], 'answer_start': [28]}
What is the estimated share of active digital retail users in the NLB Group by the year 2025?;"Publicly announced target by 2025
By the year 2025, the share of active digital retail users in the
NLB Group will be 55%.";{'text': ['By the year 2025, the share of active digital retail users in the\nNLB Group will be 55%.'], 'answer_start': [35]}
What is the share of active digital retail users in NLB Group in 2022?;"Target achivements in 2022
Share of active digital retail users in NLB Group in 2022 is 40.1%";{'text': ['Share of active digital retail users in NLB Group in 2022 is 40.1%'], 'answer_start': [28]}
On how many tiers is the Bank's corporate governance based on?;"The Bank’s corporate governance is based on a two-tier
system in which the Management Board manages the Bank,
while its daily operations are overseen by the Supervisory
Board";{'text': ['The Bank’s corporate governance is based on a two-tier\nsystem in which the Management Board manages the Bank'], 'answer_start': [1]}
What will the Supervisory Board of NLB annualy assess with regard to its indivudal members?;"As a rule, the Supervisory Board of NLB shall once a year
assess its composition, performance, potential conflict of
interest of individual members of the Supervisory Board,
performance of individual members and the Supervisory
Board as a whole, performance of Supervisory Board
committees and cooperation with the Management
Board of the Bank";{'text': ['the Supervisory Board of NLB shall once a year\nassess its composition, performance, potential conflict of\ninterest of individual members of the Supervisory Board'], 'answer_start': [12]}
What is respect for human rights an indicator of?;"Respect for human rights is an indicator of the maturity
of a social and business environment and is therefore an
important element of social responsibility.";{'text': ['Respect for human rights is an indicator of the maturity\nof a social and business environment'], 'answer_start': [1]}
What does NLB Group's transparency of operations allow?;"NLB Group strives for transparency of operations which
allows the recipients of information to correctly assess the
position, operations, risks and management of the Bank
and the Group";{'text': ['correctly assess the\nposition, operations, risks and management of the Bank\nand the Group'], 'answer_start': [96]}
"What does the The Policy on the provision of diversity of the management
body and senior management define?";"The Policy on the provision of diversity of the management
body and senior management (Diversity Policy), adopted by
the General Meeting of Shareholders on 20 June 2022, defines
the Bank’s commitments on diversity that are implemented
in relation to representation in the management body and
senior management in relation to the aspects specified in this
policy, which contains specific objectives and the manner of
their implementation";{'text': ['defines\nthe Bank’s commitments on diversity that are implemented\nin relation to representation in the management body and\nsenior management in relation to the aspects specified in this\npolicy'], 'answer_start': [171]}
