Controlled by,LABEL,question,answer,context
BST,,How does the NLB Group promote a culture of responsible banking?,," The NLB Group promotes a culture of responsible banking. For detailed information on governance and culture, please refer toC"
BST,,"For more information on risk management, please refer to Chapter Strategy and Risk Management.",,"ich has, or is likely tohave, a significant adverse business effect. For more information on risk management please refer to Chapter Strat"
BST,,Where is the General Information on Personal Data Protection on the NLB website?,,"r GeneralInformation on Personal Data Protection on the NLB website. For more information, refer to the chapter Compliance and Integrityi"
BST,,How many Whistleblow cases were processed?,,"suing recommendations toimprove the process, informing employees.... For more information about our whistle-blowing system, refer to http"
BST,,"Chapter NLB Group Pillar 3 Disclosures 2022, Chapter ESG Risk 14.4. - 14.7.",," emissionsnew categories 1,5, and 6 were included in the measurement. To explore more on NLB Groups financed emissions and efforts todeca"
BST,,What defines and marks us as a good employer and what represents our employment value as an employer?,,"n focus groupsacross the entire Group. With this feedback, we set outwhat defines and marks us as a good employer and whatrepresents our e"
BST,,"For more information on employee performance assessment and remuneration, please refer to NLB Group Annual Report 2022?",,"eer development reviews, and only long-term absentees may be exempt. For more information on employee performance assessment andremunerat"
BST,,What is one of the physical risk factors assessed from a probability and severity perspective?,,iaSerbiaRep. of North MacedoniaKosovoTransitionRiskPhysical RiskFDELIKBHJGM-SCAPhysical RiskBosnia and HerzegovinaConte
BST,,What is not allowed to use estimates for mandatory disclosures?,,"isks associatedwith their engagement in Taxonomy-aligned activities.It is not allowed to use estimates for mandatory disclosures,which sh"
BST,,At a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society Appendices Contents Waste GRI 3 Material 3-3 Management of material topics 1,,gementMetrics and TargetsContribution toSocietyAppendicesContentsWasteGRI 3 Material3-3 Management of material topics 1. 
BST,,What should banks describe significant concentrations of credit exposure to carbon-related assets?,, Groups overall results were within the range of averagepeer resultsd Banks should describesignificant concentrationsof credit exposure
BST,,How many pages are in the Sustainability Report 2022 p. 7  2?,,"For more information, please refer to Sustainability Report 2022 p. 7 2. For more information about the Sustainability Framework, please re"
BST,,What is the chapter 19 of the Sustainability Report 2022 p. 20?,,"by working together and leading initiatives within theassociations. For more information, please refer to Sustainability Report 2021 p. 1"
BST,,What committee has responsibility over the sustainability strategy as well as targets approval and monitoring?,,tive implementation of thePrinciples. This includes information about which committee has responsibility over the sustainabilitystrategy 
BST,OK,What percentage of electricity was obtained from zero carbon energy source?,100%,"cope 2, limited Scope 3  without Category 15financed emissions. 100% of all electricity from zero carbon energy sourcein NLB and NLB Kom"
BST,,How many NLB banks are in Sarajevo?,3,"3 NLB d.d., NLB Banka a.d., Skopje NLB Banka a.d., Podgorica NLB Bank"
BST,OK,How many key values were defined in 2022?,3,"p, and launched with several implementationinitiatives. As a result, 3 key values and 15 behaviours were defined.ContentsCEO StatementKey"
BST,,"What are some of the key international initiatives, principles, recommendations and in respective areas?",3,"p, and launched with several implementationinitiatives. As a result, 3 key values and 15 behaviours were defined.ContentsCEO StatementKey"
BST,OK,How many Sustainable Development goals does the Group focus on?,5,"ations,financing and investment activities.The Group focuses on key 5 Sustainable Development Goals those which reflect its greatest impa"
BST,OK,How many key impact areas did NLB Group prioritize?,3,"sis and country needs. Based on these analysis, NLBGroup prioritized 3 key impact areas and announced 4 keytargets.Principle 1 alignment"
BST,OK,How many targets were announced?,4,"hese analysis, NLBGroup prioritized 3 key impact areas and announced 4 keytargets.Principle 1 alignmentNLB Groups CommitmentWe will al"
BST,OK,What percentage of electricity purchased from a zero carbon energy source is purchased in Slovenia and Serbia?,100%,"ectricity used by NLB Group purchased from zero carbonenergy source, 100% in Slovenia and Serbia respectively."
BST,OK,How many decision-making bodies are there?,3,Management Board Membersare supported by directors at B-1 level in3 decision-making bodiesOversees the integration of thesustainability
BST,,What is ensuring the availability of channels for anonymous reporting of alleged abusive practices?,e,"ditions with third parties customers, businesspartners, suppliers,e ensuring the availability of channels for anonymousreporting of a"
BST,OK,How much electricity was purchased from zero-carbon sources in two largest and most material entities?,100%,gnificant reduction of CO2emissionsin 2022 was due to the fact that 100% electricity waspurchased from zero-carbon sources in two largest and
BST,,Scope 3 emissions included how many more categories than the first measurement?,3, and due to favourable climate conditions.Scope 3 emissions included 3 more categories than in thefirst measurement. 
BST,OK,How many women are on NLBs Supervisory Board?,3,n and 1 woman. The Supervisory Board of NLB has 10 members7 men and 3 women.CEO StatementKey Highlights 2022About This ReportNLB Group 
BST,,Who generated new green energy?,7,"t loan offers products, of which 13 are for private individuals and 7 for legal entities Microand SME. "
BST,,What was NLBs new amount of new green loans for retail customers?,7,"t loan offers products, of which 13 are for private individuals and 7 for legal entities Microand SME. "
BST,,How many new green loan offers did NLB introduce for legal entities?,3,storage andheat pumpsNew products forlegal entitiesNLB introduced 3 new green loan offers for legal entities Micro and SME NLB Green
BST,,How many different loan offers were introduced to the market?,7,"t loan offers products, of which 13 are for private individuals and 7 for legal entities Microand SME. "
BST,,How much higher was the ESG Bond investment in 2021 than the EOY 2021 investment?,100%,presented 4% of the Groups banking book securitiesportfolio and was 100% higher than EOY 2021 2% shareThe key to successful greentransitio
BST,OK,How many EU Taxonomy - voluntary disclosures are there?,3,ndividuals in EUR million 9 53EU Taxonomy - voluntary disclosures 3EU Taxonomy Eligible NFRD clients in EUR million 653.567 627.292E
BST,OK,How many subsidiary banks are in the NLB Group?,7,"ficant locations are presented parent bank NLB, d.d. Slovenia, and 7 subsidiary banks NLB Banka a.d., Skopje North Macedonia  NLB Bank"
BST,,What is the page 5 2-5 for External assurance?,1,"is Report in the Sustainability Report, page 52-5 External assurance 1. See chapter About this Report in the Sustainability Report, page 52"
BST,,What is the governance structure and composition of the Sustainability Report?,1,"stainability Report, page 552-9 Governance structure and composition 1. See cchapter Governance in the Sustainability Report, page 252. "
BST,,Who is the Chair of the highest governance body?,1,overnance-policy-of-nlb.pdf2-11 Chair of the highest governance body 1. 
BST,,"What is the chapter Corporate governance in the Annual Report, page 110?",2,"See chapter Corporate governance in the Annual Report, page 1102. See chapter Governance in the Sustainability Report, page 253. See "
BST,,What chapter in the Sustainability Report discusses engagement with professional and business associations?,9,"essional and businessassociations in the Sustainability Report, page 92-29 Approach to stakeholder engagement 1. See chapter Stakeholder En"
BST,,In what chapter of the Sustainability Report is Sustainable finance and Risk Management discussed?,2," Sustainable finance and Risk Management in the Sustainability Report,2. See chapter Corporate and Investment banking in the Annual Report, p"
BST,,The NLB Group Sustainability Framework is available at https//www.nlb.si/sustainability?,2,B Group Sustainability Framework at https//www.nlb.si/sustainability2. 
BST,,"What does the chapter Fighting against corruption and bribery in the Sustainability Report, page 40 GRI 205 Anti- 205-1 Operations assessed for risks related to corruption?",2," Fighting against corruption and bribery in the Sustainability Report,2. See chapter Compliance and Integrity in the Annual Report, page 118"
BST,,What is Chapter NLB Groups Operational Environmental Impact in the Sustainability Report?,2,"tional Environmental Impact in the SustainabilityReport, page 44 - 472. See Appendix 5 Overview of sustainability  related policies in NLB"
BST,,How many indirect Scope 3 GHG emissions are there?,1,"ity Report, page 44 - 47305-3 Other indirect Scope 3 GHG emissions 1. "
