question,answer,context
What are the three key pillars of sustainability?,"sustainable finance, sustainable operations and contribution to society","which laid foundations for three pillars of sustainability: sustainable finance, sustainable operations and contribution to society. The goal of this strategic, group-wide initiative is to ensure sustainable"
In which year was the Policy on Respect for Human Rights in NLB Group adopted?,In 2023.,Policy on Respect for Human Rights in NLB and NLB Group was adopted by the Management Board in 2023.
What is the NLB Group Code of Conduct?,"The NLB Group Code of Conduct is a standardised document that describes ethical business conduct, outlines values, and sets conduct guidelines for relationships with clients, competitors, business partners, state authorities, regulators, shareholders, and internal relationships among employees.","The NLB Group Code of Conduct is a standardised document that describes ethical business conduct, outlines values, and sets conduct guidelines for relationships with clients, competitors, business partners, state authorities, regulators, shareholders, and internal relationships among employees."
What does NLB do to raise awareness of protection of personal data and information among employees?,Organise regular education and training courses.,"To this end, we organise regular education and training courses in order to raise awareness about protection among our employees and to ensure compliance with the established standards of information protection and compliance with the regulations and standards implemented by the Bank."
On which committees is the Cyber security in the NLB Group regularly discussed?,"Bank’s Information Security Steering Committee, Operational Risk Committee, and Management Board meetings","d products for clients. Cyber security in the Group is constantly tested and upgraded by security assessments, independent reviews, and penetration testing, also regularly discussed at the Bank’s Information Security Steering Committee, Operational Risk Committee, and Management Board meetings. During 2022"
What does the National action plan for respecting human rights in economy focus on?,"Precarious work, gender equality, working environment for people with disabilities, consumer rights and forced labour.","In June 2022 the NLB d.d. decided on joining the commitment to the Slovenian ‘National action plan for respecting human rights in economy’, based on which companies adhere to the constitution and internationally recognized human rights. The commitment encourages 2030 Agenda, OECD Guidelines, ISO 26000, GRI and focuses on precarious work, gender equality, working environment for people with disabilities, consumer rights and forced labour."
When was the comprehensive Policy on Respect for Human Rights in NLB d.d. and the NLB Group adopted?,In January 2023.,"In the second half of 2022 the Bank started with preparations of the comprehensive Policy on Respect for Human Rights in NLB d.d. and the NLB Group, which was adopted in January 2023. This Policy contains the commitment of"
"How many human right violations were confirmed in 2022 in relation to employees and customers, or by external contractors and suppliers and other contractual partners.",Zero.,"“In 2022 no human rights violations have been confirmed in relation to employees and customers, or by external contractors and suppliers and other contractual partners.”"
What was the goal of Environmental and Social Factors/Risk Management System?,To manage climate and/or environmental and social risks.,"NLB also pays special attention to human rights in the context of the development of the Environmental and Social Factors/ Risk Management System (ESMS), which aims to manage climate and/or environmental and social risks."
Which forms of bribery and corruption are allowed in NLB Group?,No form of bribery and corruption is allowed in NLB Group.,"s zero tolerance for such harmful practices. NLB Group rejects all forms of bribery and corruption. These forms of actions are unfair, illegal, and detrimental to countries with corrupt practices and society in general."
