LABEL;question;answer;context
;What is the name of the NLB Group Sustainability Report 2020?;Sustainability Framework;mation StatementNLB Group Sustainability Report 2020 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 RoadmapPerfo
;What are GRI Standards 2021 Roadmap?;Sustainability Framework Human Rights Regulation  Governance; Home2 NLB Group Sustainability Report 2020Contents 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 RoadmapNLB Group Sustainability Report 2020Conte
;The NLB Annual Report 2020 is available on the Banks website at https//www.nlb.si/financial-reports?;56%;ents.56% of female managersAt the end of the year, women represented56% of all management positions. 49% ofwomen at the first management lev
;What is the name of the banks website?;https//www.nlb.si;The NLB Group Annual Report 2020 is available on theBanks website https//www.nlb.si/financial-reports.2020 Sustainability Performance Highlights 3CEO S
;What are the three Pillars of NLB Group Sustainability?;B-3;d management levelB-2, 60% of women at the third managementlevel B-3. 
;The Respect for Human Rights 26 Fighting against what?;Corruption and Bribery;inable Operations 18The Respect for Human Rights 26Fighting Against Corruption and Bribery 30Promoting Freedom of Expression 31on the Internet and ElsewhereI
;What is the goal of the NLB Group Sustainability Report 2020 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 Roadmap Performance Highlights;Improving Customer Satisfaction;y 30Promoting Freedom of Expression 31on the Internet and ElsewhereImproving Customer Satisfaction 32Tax Transparency 34GRI Standards 35Komercijalna banka  the New 
;What is the name of the comprehensive sustainability program prepared by NLB Group?;Sustainability Framework; Home2 NLB Group Sustainability Report 2020Contents 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 RoadmapNLB G
OK;What percentage of female managers were women at the end of the year?;56%;nts.56% of female managersAt the end of the year, women represented56% of all management positions. 49% ofwomen at the first management lev
;How many management positions were held by women?;56%;ents.56% of female managersAt the end of the year, women represented56% of all management positions. 49% ofwomen at the first management lev
OK;What percentage of managers were women in the first management level?;49%;e end of the year, women represented56% of all management positions. 49% ofwomen at the first management level B-1, 55%of women at the sec
OK;How much of managers in the second management level are women in?;55%;nagement positions. 49% ofwomen at the first management level B-1, 55%of women at the second management levelB-2, 60% of women at the th
