LABEL;question;answer;context
OK;What percentage of female managers were women at the end of the year?;56%;nts.56% of female managersAt the end of the year, women represented56% of all management positions. 49% ofwomen at the first management lev
OK;What percentage of managers were women in the first management level?;49%;e end of the year, women represented56% of all management positions. 49% ofwomen at the first management level B-1, 55%of women at the sec
OK;How much of managers in the second management level are women in?;55%;nagement positions. 49% ofwomen at the first management level B-1, 55%of women at the second management levelB-2, 60% of women at the th
OK;What percentage of Supervisory and Management Board Members are women?;31%;Women represent 31% of allSupervisory and Management Board Members.Inclusion and equal 
OK;In 2020, what was the proportion of staff with disabilities?;2%.;rtunities. In 2020 the proportionof staff with disabilities stood at 2%.6,800 training programsBy the end of the year 4,769 employeespartic
OK;When were the anticorruption policies and procedures revised?;secondhalf of 2020;o corruptionThe anticorruption policy andprocedures were revised in secondhalf of 2020. There were no confirmedcases of corruption in 2020.Non-discriminat
ok;What is our policy of zero tolerance to?;any form of discrimination andviolence;ion in 2020.Non-discriminationWe have a policy of zero toleranceto any form of discrimination andviolence. In reporting period, we had1 incident of discrimination, which was
ok;How many incidents of discrimination were there during the reporting period?;1;o any form of discrimination andviolence. In reporting period, we had1 incident of discrimination, which wasresolved in February 2020 and t
OK;What percentage of female employees were employed by NLB Group in 2020?;58%;der than 50 years.Altogether, 42% of the newly employedwere men and 58% women. 
OK;How many new employees were hired at NLB?;307;ployed69% of women and 31% of men.307 new employeesNLB Group hired 307 new employees,of which 39.7% were younger than 30years, 57% were be
OK;Which percentage of employees were between 30 and 50?;57%;p hired 307 new employees,of which 39.7% were younger than 30years, 57% were between 30 and 50 yearsold, and 3.3% were older than 50 years.
OK;What percentage of the newly employed were men?;42%;n 30 and 50 yearsold, and 3.3% were older than 50 years.Altogether, 42% of the newly employedwere men and 58% women. 
OK;What percent of the new employed were women?;58%;der than 50 years.Altogether, 42% of the newly employedwere men and 58% women. 
OK;What percentage of new hires were hired from local community?;97%;97% of newhires were hired from local community.Up to 35% lower paper u
OK;What is the name of the report that highlights the sustainability framework?;Sustainability Report 2020 2020;bers decreased between 15 to 23%.SupervisoryBoards and MBNLB Group Sustainability Report 2020 2020 Highlights Sustainability Framework Human Rights Regulation  Governa
OK;What has accelerated the transition to working from home?;The pandemic;This commitment has already brought results in 2020. The pandemic fuelledour drive for digitization and sparked us to further expand t
OK;Who was the CEO in 2020?;Blaž Brodnjak;invest in it, and make sure that it is ready  for whatever may come.Blaž BrodnjakCEOIn 2020 we learnt a lot. We received important insights that we m
OK;What is one of the most recognized projects of 2020 in the entire region of SEE?;HelpFrame project;ognised projects of 2020 in the entireregion of SEE is certainly the HelpFrame project. Withthe HelpFrame project, we offered our own advertisingspace to
