index;LABEL;question;answer;context;answer_start
14;OK;What percentage of electricity was obtained from zero carbon energy source?;100%;cope 2, limited Scope 3  without Category 15financed emissions. 100% of all electricity from zero carbon energy sourcein NLB and NLB Kom;64
16;OK;How many key values were defined in 2022?;3;p, and launched with several implementationinitiatives. As a result, 3 key values and 15 behaviours were defined.ContentsCEO StatementKey;69
18;OK;How many Sustainable Development goals does the Group focus on?;5;ations,financing and investment activities.The Group focuses on key 5 Sustainable Development Goals those which reflect its greatest impa;68
19;OK;How many key impact areas did NLB Group prioritize?;3;sis and country needs. Based on these analysis, NLBGroup prioritized 3 key impact areas and announced 4 keytargets.Principle 1 alignment;69
20;OK;How many targets were announced?;4;hese analysis, NLBGroup prioritized 3 key impact areas and announced 4 keytargets.Principle 1 alignmentNLB Groups CommitmentWe will al;69
21;OK;What percentage of electricity purchased from a zero carbon energy source is purchased in Slovenia and Serbia?;100%;ectricity used by NLB Group purchased from zero carbonenergy source, 100% in Slovenia and Serbia respectively.;69
22;OK;How many decision-making bodies are there?;3;Management Board Membersare supported by directors at B-1 level in3 decision-making bodiesOversees the integration of thesustainability;66
24;OK;How much electricity was purchased from zero-carbon sources in two largest and most material entities?;100%;gnificant reduction of CO2emissionsin 2022 was due to the fact that 100% electricity waspurchased from zero-carbon sources in two largest and;68
26;OK;How many women are on NLBs Supervisory Board?;3;n and 1 woman. The Supervisory Board of NLB has 10 members7 men and 3 women.CEO StatementKey Highlights 2022About This ReportNLB Group ;68
32;OK;How many EU Taxonomy - voluntary disclosures are there?;3;ndividuals in EUR million 9 53EU Taxonomy - voluntary disclosures 3EU Taxonomy Eligible NFRD clients in EUR million 653.567 627.292E;29
33;OK;How many subsidiary banks are in the NLB Group?;7;ficant locations are presented parent bank NLB, d.d. Slovenia, and 7 subsidiary banks NLB Banka a.d., Skopje North Macedonia  NLB Bank;67
48;OK;How many strategic pillars does the NLB sustainability roadmap have?;3;ng term.1. NLB sustainability roadmap encompasses decisive approach, 3 strategic pillarsSustainable Operations, Sustainable Finance, Contr;69
49;OK;How many strategic pillars are there?;3;ng term.1. NLB sustainability roadmap encompasses decisive approach, 3 strategic pillarsSustainable Operations, Sustainable Finance, Contr;69
57;OK;In Slovenia and Serbia, what percentage of electricity is purchased from CO2-neutral sources?;100%;In Slovenia and Serbia, 100% of electricityused is purchased from CO2-neutral sources.3. By 2025;24
58;OK;What percentage reduction of operational carbon footprint was achieved?;46; 46 % reduction of operational carbon footprintScope 1 and Scope 2, lim;1
62;OK;How many behaviours were defined?;15;ith several implementationinitiatives. As a result, 3 key values and 15 behaviours were defined.ContentsCEO StatementKey Highlights 2022A;69
64;OK;How many impact areas along business lines were identified in the NLB Group impact analysis?;13;on the NLB Group impactanalysis, first performed in 2021, altogether 13 impact areasalong business lines were identified. ;69
65;OK;How many material issues were listed for NLB Groups responsible operation and sustainable development?;17; in the same geographical andcultural area. Based on this, we listed17 material issues for NLB Groupsresponsible operation and sustainable;68
66;OK;How many material issues did Senior Management assess?;17;the six countrieswhere we are present, who evaluated eachone of the 17 material issues to determinethe importance of these issues for NLBG;68
67;OK;How many members did the Committee have in 2022?;17;Throughout 2022, the Committee had 17 members andwas enlarged to 20 members in 2023. The Chairman of theC;35
70;OK;How many reports were processed by NLB d.d. in the area of fraud investigation?;41;In the area of fraud investigation NLB d.d. processed 41reports and NLB Group members 34 reports of suspicionsof harmful beh;54
72;OK;How many big taxpayers had special tax status in Slovenia in 2021?;11;rs who have appropriate internaltax controls in place. In 2021, only 11 big taxpayers had suchstatus in Slovenia. This status, which is gran;69
73;OK;How many entities of NLB Group were included in calculation?;19;ootprintreport verification, disclosure and reporting. Altogether, 19 entities of NLB Group were included incalculation. Beside NLB and su;67
74;OK;How many men took parental leave?;40;om home every day.Parental leaveIn 2022, 254 employees 214 women, 40 men took parentalleave. Some of the employees started parental leav;66
