index;question;context;answers;id
14;What percentage of electricity was obtained from zero carbon energy source?;cope 2, limited Scope 3  without Category 15financed emissions. 100% of all electricity from zero carbon energy sourcein NLB and NLB Kom;{'text': ['100%'], 'answer_start': [64]};0
16;How many key values were defined in 2022?;p, and launched with several implementationinitiatives. As a result, 3 key values and 15 behaviours were defined.ContentsCEO StatementKey;{'text': ['3'], 'answer_start': [69]};1
18;How many Sustainable Development goals does the Group focus on?;ations,financing and investment activities.The Group focuses on key 5 Sustainable Development Goals those which reflect its greatest impa;{'text': ['5'], 'answer_start': [68]};2
19;How many key impact areas did NLB Group prioritize?;sis and country needs. Based on these analysis, NLBGroup prioritized 3 key impact areas and announced 4 keytargets.Principle 1 alignment;{'text': ['3'], 'answer_start': [69]};3
20;How many targets were announced?;hese analysis, NLBGroup prioritized 3 key impact areas and announced 4 keytargets.Principle 1 alignmentNLB Groups CommitmentWe will al;{'text': ['4'], 'answer_start': [69]};4
21;What percentage of electricity purchased from a zero carbon energy source is purchased in Slovenia and Serbia?;ectricity used by NLB Group purchased from zero carbonenergy source, 100% in Slovenia and Serbia respectively.;{'text': ['100%'], 'answer_start': [69]};5
22;How many decision-making bodies are there?;Management Board Membersare supported by directors at B-1 level in3 decision-making bodiesOversees the integration of thesustainability;{'text': ['3'], 'answer_start': [66]};6
24;How much electricity was purchased from zero-carbon sources in two largest and most material entities?;gnificant reduction of CO2emissionsin 2022 was due to the fact that 100% electricity waspurchased from zero-carbon sources in two largest and;{'text': ['100%'], 'answer_start': [68]};7
26;How many women are on NLBs Supervisory Board?;n and 1 woman. The Supervisory Board of NLB has 10 members7 men and 3 women.CEO StatementKey Highlights 2022About This ReportNLB Group ;{'text': ['3'], 'answer_start': [68]};8
32;How many EU Taxonomy - voluntary disclosures are there?;ndividuals in EUR million 9 53EU Taxonomy - voluntary disclosures 3EU Taxonomy Eligible NFRD clients in EUR million 653.567 627.292E;{'text': ['3'], 'answer_start': [29]};9
33;How many subsidiary banks are in the NLB Group?;ficant locations are presented parent bank NLB, d.d. Slovenia, and 7 subsidiary banks NLB Banka a.d., Skopje North Macedonia  NLB Bank;{'text': ['7'], 'answer_start': [67]};10
48;How many strategic pillars does the NLB sustainability roadmap have?;ng term.1. NLB sustainability roadmap encompasses decisive approach, 3 strategic pillarsSustainable Operations, Sustainable Finance, Contr;{'text': ['3'], 'answer_start': [69]};11
49;How many strategic pillars are there?;ng term.1. NLB sustainability roadmap encompasses decisive approach, 3 strategic pillarsSustainable Operations, Sustainable Finance, Contr;{'text': ['3'], 'answer_start': [69]};12
57;In Slovenia and Serbia, what percentage of electricity is purchased from CO2-neutral sources?;In Slovenia and Serbia, 100% of electricityused is purchased from CO2-neutral sources.3. By 2025;{'text': ['100%'], 'answer_start': [24]};13
58;What percentage reduction of operational carbon footprint was achieved?; 46 % reduction of operational carbon footprintScope 1 and Scope 2, lim;{'text': ['46'], 'answer_start': [1]};14
62;How many behaviours were defined?;ith several implementationinitiatives. As a result, 3 key values and 15 behaviours were defined.ContentsCEO StatementKey Highlights 2022A;{'text': ['15'], 'answer_start': [69]};15
64;How many impact areas along business lines were identified in the NLB Group impact analysis?;on the NLB Group impactanalysis, first performed in 2021, altogether 13 impact areasalong business lines were identified. ;{'text': ['13'], 'answer_start': [69]};16
65;How many material issues were listed for NLB Groups responsible operation and sustainable development?; in the same geographical andcultural area. Based on this, we listed17 material issues for NLB Groupsresponsible operation and sustainable;{'text': ['17'], 'answer_start': [68]};17
66;How many material issues did Senior Management assess?;the six countrieswhere we are present, who evaluated eachone of the 17 material issues to determinethe importance of these issues for NLBG;{'text': ['17'], 'answer_start': [68]};18
67;How many members did the Committee have in 2022?;Throughout 2022, the Committee had 17 members andwas enlarged to 20 members in 2023. The Chairman of theC;{'text': ['17'], 'answer_start': [35]};19
70;How many reports were processed by NLB d.d. in the area of fraud investigation?;In the area of fraud investigation NLB d.d. processed 41reports and NLB Group members 34 reports of suspicionsof harmful beh;{'text': ['41'], 'answer_start': [54]};20
72;How many big taxpayers had special tax status in Slovenia in 2021?;rs who have appropriate internaltax controls in place. In 2021, only 11 big taxpayers had suchstatus in Slovenia. This status, which is gran;{'text': ['11'], 'answer_start': [69]};21
73;How many entities of NLB Group were included in calculation?;ootprintreport verification, disclosure and reporting. Altogether, 19 entities of NLB Group were included incalculation. Beside NLB and su;{'text': ['19'], 'answer_start': [67]};22
74;How many men took parental leave?;om home every day.Parental leaveIn 2022, 254 employees 214 women, 40 men took parentalleave. Some of the employees started parental leav;{'text': ['40'], 'answer_start': [66]};23
75;How many members are on the Management Board of NLB?;LB has 6 members 5 men and 1 woman. The Supervisory Board of NLB has 10 members7 men and 3 women.CEO StatementKey Highlights 2022About T;{'text': ['10'], 'answer_start': [69]};24
76;How many practical workshops were organised specifically for the needs of older people?;heir money with using digitalchannels.For this reason, we organised 10 practical workshopsspecifically tailored to the needs of older peopl;{'text': ['10'], 'answer_start': [68]};25
77;How many workshops were organized specifically for older peoples needs?;heir money with using digitalchannels.For this reason, we organised 10 practical workshopsspecifically tailored to the needs of older peopl;{'text': ['10'], 'answer_start': [68]};26
78;How many workshops did NLB run in 2022?;kills for older people workshops online and offline.in 2022 we ran 13 workshops with a total of 121 participants.They are mainly are perfo;{'text': ['13'], 'answer_start': [67]};27
79;How many different locations did NLB BankGo visit in 2022?;fbanking services on the road. In 2022 NLB BankGo regularlyvisited 24 different locations four days a week, and on Fridayswas present at s;{'text': ['24'], 'answer_start': [67]};28
80;How many humanitarian organisations were exempted from fees in 2022?;enttransactions to humanitarian organisations. In 2022, NLBexempted 32 humanitarian organisations from fees, whichresulted in 6,104 transac;{'text': ['32'], 'answer_start': [68]};29
81;How much money was generated by Private Individuals NLB?;introduce to the market20 different loan offers products, of which 13 are for private individuals and 7 for legal entities Microand SME.;{'text': ['13'], 'answer_start': [67]};30
